OSM_id,X_Noise_DB
140368792,55.0
140368792,55.0
140368792,55.0
140368792,55.0
144520653,55.0
144520653,55.0
799355138,55.0
799355138,55.0
551792076,55.0
551792076,55.0
138324261,55.0
138324261,55.0
272089231,55.0
272089260,55.0
790660434,55.0
790660439,55.0
25889011,55.0
26295422,55.0
26295422,55.0
77934056,55.0
77934056,55.0
182694467,55.0
182694467,55.0
26295422,55.0
26295422,55.0
77934056,55.0
77934056,55.0
177137467,55.0
182694467,55.0
182694467,55.0
33924456,55.0
33924462,55.0
33924462,55.0
33924920,55.0
33924920,55.0
33924920,55.0
172802777,55.0
4235808,55.0
4235808,55.0
40917661,55.0
40917661,55.0
235829894,55.0
235829894,55.0
235829894,55.0
235829894,55.0
356581642,55.0
356581642,55.0
8653483,55.0
8653483,55.0
15091419,55.0
15091419,55.0
290805315,55.0
290805315,55.0
177658177,55.0
177658177,55.0
177658178,55.0
177658178,55.0
4220765,55.0
4220765,55.0
4220765,55.0
4220765,55.0
4229391,55.0
4229391,55.0
26393749,55.0
26393749,55.0
313429820,55.0
313429820,55.0
313429822,55.0
785305134,55.0
528738372,55.0
528738373,55.0
528738375,55.0
528738375,55.0
708961370,55.0
40020939,55.0
40020939,55.0
28361956,55.0
28361956,55.0
816506723,55.0
816506723,55.0
23025660,55.0
23025660,55.0
27052110,55.0
27052110,55.0
4216843,55.0
4216843,55.0
4216843,55.0
4216843,55.0
4216933,55.0
4217647,55.0
4217649,55.0
4217649,55.0
4217757,55.0
4220247,55.0
4220247,55.0
4220247,55.0
4223242,55.0
4223255,55.0
4223257,55.0
4223431,55.0
4223432,55.0
4223432,55.0
4223732,55.0
4223732,55.0
4223732,55.0
4223735,55.0
4226165,55.0
4226182,55.0
4226182,55.0
4226182,55.0
4226187,55.0
4226187,55.0
4226195,55.0
4227193,55.0
4227193,55.0
4229406,55.0
4233514,55.0
4233514,55.0
4235680,55.0
4235680,55.0
4235680,55.0
4235687,55.0
4235687,55.0
4235695,55.0
4235695,55.0
4235696,55.0
4235696,55.0
4235770,55.0
4235778,55.0
4235785,55.0
4235791,55.0
4235791,55.0
4235798,55.0
4235798,55.0
4235802,55.0
4235802,55.0
4238091,55.0
4238093,55.0
4238096,55.0
4238097,55.0
4238097,55.0
4238097,55.0
4238097,55.0
4238097,55.0
4238097,55.0
4238097,55.0
4238097,55.0
4238098,55.0
4238101,55.0
4238101,55.0
4238106,55.0
4238109,55.0
4238112,55.0
4238112,55.0
4238113,55.0
4238113,55.0
4238147,55.0
4238147,55.0
4238148,55.0
4238148,55.0
4328301,55.0
4329661,55.0
4345124,55.0
4345124,55.0
4345125,55.0
4345125,55.0
4345129,55.0
4345129,55.0
4345133,55.0
5367890,55.0
5367890,55.0
5369182,55.0
5369182,55.0
5369191,55.0
5369191,55.0
5369194,55.0
5369194,55.0
7212304,55.0
7525633,55.0
7525690,55.0
7525690,55.0
7525777,55.0
7525777,55.0
7582893,55.0
7582894,55.0
7708516,55.0
7971014,55.0
8028161,55.0
8028164,55.0
8028164,55.0
8028311,55.0
8028311,55.0
8028334,55.0
8028334,55.0
8028335,55.0
8028928,55.0
8135493,55.0
8135519,55.0
8135519,55.0
8135672,55.0
8135672,55.0
8135672,55.0
8135680,55.0
8597225,55.0
8652965,55.0
8652965,55.0
8653005,55.0
8653005,55.0
8653135,55.0
8653135,55.0
8653181,55.0
8653182,55.0
8653460,55.0
8653460,55.0
8653462,55.0
8653462,55.0
8653464,55.0
8653464,55.0
8653467,55.0
8653487,55.0
8653487,55.0
8654449,55.0
8654449,55.0
15070708,55.0
15070708,55.0
17485128,55.0
17485128,55.0
19782610,55.0
19782610,55.0
23044895,55.0
23068060,55.0
