index,OSM_id
0,4220453
1,4226183
2,4226227
3,4226249
4,4227167
5,4227193
6,4229447
7,4229457
8,4229494
9,4233646
10,4234714
11,4236255
12,4236265
13,4238097
14,4243036
15,4244481
16,4244647
17,4248708
18,4251283
19,4252930
20,4253183
21,4253744
22,4258800
23,4260557
24,4263979
25,4273618
26,4274437
27,4326296
28,4343732
29,4376381
30,4376382
31,4387437
32,4400525
33,4412549
34,4439841
35,4444379
36,4468804
37,4468814
38,4565129
39,4631278
40,4646985
41,4680624
42,4689744
43,4701328
44,4701358
45,4702180
46,4702529
47,4706940
48,4783112
49,4872659
50,4882716
51,4904133
52,4952731
53,5042165
54,5047242
55,5061718
56,5061720
57,5061722
58,5061830
59,5065274
60,5065276
61,5065861
62,5067893
63,5079168
64,5209907
65,5210326
66,5230735
67,5230785
68,5231329
69,5231330
70,5231396
71,5231397
72,5231399
73,5231402
74,5231807
75,5231835
76,5234141
77,5234200
78,5234980
79,5235190
80,5235194
81,5235877
82,5235996
83,5236048
84,5237323
85,5237387
86,5241313
87,5241511
88,5374990
89,6268540
90,6929234
91,7525690
92,7525777
93,7529498
94,7837687
95,7998680
96,8014677
97,8035294
98,8041766
99,8062951
100,8064520
101,8074828
102,8079956
103,8102787
104,8135519
105,8135960
106,8135961
107,8141209
108,8170753
109,9637828
110,9639072
111,10309131
112,10357060
113,10363029
114,10363531
115,10372099
116,10372191
117,10372364
118,10558194
119,10558335
120,10559329
121,10621055
122,11068845
123,11072337
124,12377757
125,14336002
126,14438376
127,15090490
128,15242733
129,15443370
130,15878010
131,16157537
132,16182942
133,16345605
134,16345612
135,16367052
136,16627592
137,16627595
138,16817444
139,16817445
140,16817448
141,16820733
142,16820737
143,16820859
144,16960190
145,17101262
146,17101263
147,17106182
148,17221484
149,17243577
150,17243580
151,17243581
152,17243582
153,17243596
154,17244419
155,17244796
156,17244797
157,17244798
158,17246385
159,17268002
160,17268503
161,17308579
162,17309093
163,17309094
164,17309096
165,17434672
166,17434677
167,17435044
168,17435058
169,17436865
170,17460239
171,17460243
172,17482195
173,17482197
174,17485128
175,17486323
176,17505134
177,17674830
178,17967521
179,18063918
180,18312814
181,18314423
182,18314426
183,18377424
184,18378910
185,18382987
186,18467152
187,18467154
188,18841747
189,19746151
190,19850958
191,19851095
192,20045694
193,20179292
194,20484623
195,21514712
196,22604699
197,22757106
198,22757132
199,22757167
200,22771742
201,22820653
202,22874617
203,22945449
204,22958042
205,22958409
206,22975675
207,23018755
208,23025074
209,23182000
210,23197956
211,23207529
212,23207533
213,23228988
214,23305048
215,23384909
216,23415665
217,23415675
218,23626414
219,23648234
220,23648615
221,23653209
222,23653216
223,23653322
224,23654431
225,23717887
226,23739765
227,23740590
228,23750754
229,23750804
230,23814215
231,23818246
232,23910088
233,23960388
234,23960595
235,24031434
236,24305634
237,24398373
238,24398394
239,24398539
240,24398623
241,24398967
242,24399330
243,24404779
244,24404885
245,24404915
246,24404945
247,24404956
248,24407660
249,24407747
250,24423403
251,24423698
252,24428056
253,24428059
254,24428083
255,24428086
256,24428177
257,24428178
258,24428915
259,24428920
260,24428931
261,24429358
262,24429362
263,24429380
264,24429555
265,24436339
266,24436415
267,24436442
268,24451407
269,24464025
270,24474180
271,24484090
272,24485774
273,24485967
274,24693196
275,24693404
276,24693542
277,24693557
278,24724521
279,24768451
280,24771096
281,24820310
282,24820643
283,24820644
284,24977186
285,25153041
286,25153048
287,25361147
288,25424034
289,25455448
290,25457284
291,25457382
292,25457525
293,25457744
294,25497859
295,25506026
296,25542790
297,25561760
298,25561763
299,25562233
300,25599545
301,25600862
302,25601392
303,25618686
304,25623540
305,25656130
306,25701834
307,25758835
308,25764168
309,25807928
310,25823735
311,25823848
312,25824081
313,25828928
314,25888160
315,25891879
316,25894166
317,25894806
318,25907964
319,25930340
320,25958710
321,26013849
322,26014171
323,26027862
324,26031055
325,26110668
326,26119776
327,26127182
328,26130030
329,26151560
330,26151944
331,26175315
332,26175317
333,26175336
334,26187588
335,26192899
336,26229776
337,26252782
338,26279029
339,26279189
340,26320799
341,26344499
342,26344501
343,26344524
344,26348661
345,26348751
346,26393331
347,26421668
348,26425431
349,26427909
350,26427993
351,26428186
352,26428256
353,26448243
354,26469122
355,26473022
356,26473053
357,26490770
358,26514245
359,26575209
360,26691036
361,26691774
362,26692568
363,26703637
364,26747661
365,26791302
366,26924192
367,26927436
368,26950587
369,26970637
